County,Link,Population,Providers,Plants,Residential Rate (Â¢),Residential Avg. Electric Bill,comp0,comp1,comp2,comp3,comp4,comp5
Adjuntas Municipio,https://findenergy.com/pr/adjuntas-municipio-electricity/,"18,068",1,,26.87,$102.83/mo,88078,4.87,63810037,3531.7,12.08%,2.45%
Aguada Municipio,https://findenergy.com/pr/aguada-municipio-electricity/,"38,307",1,,26.87,$102.83/mo,186740,4.87,135287307,3531.7,12.08%,2.45%
Aguadilla Municipio,https://findenergy.com/pr/aguadilla-municipio-electricity/,"55,241",1,,26.87,$102.83/mo,269290,4.87,195092441,3531.7,12.08%,2.45%
Aguas Buenas Municipio,https://findenergy.com/pr/aguas-buenas-municipio-electricity/,"24,567",1,,26.87,$102.83/mo,119760,4.87,86762296,3531.7,12.08%,2.45%
Aibonito Municipio,https://findenergy.com/pr/aibonito-municipio-electricity/,"24,565",1,,26.87,$102.83/mo,119750,4.87,86755233,3531.7,12.08%,2.45%
Arecibo Municipio,https://findenergy.com/pr/arecibo-municipio-electricity/,"88,017",1,,26.87,$102.83/mo,429067,4.87,310846136,3531.7,12.08%,2.45%
Arroyo Municipio,https://findenergy.com/pr/arroyo-municipio-electricity/,"16,183",1,,26.87,$102.83/mo,78889,4.87,57152857,3531.7,12.08%,2.45%
AÃ±asco Municipio,https://findenergy.com/pr/anasco-municipio-electricity/,"25,859",1,,26.87,$102.83/mo,126058,4.87,91325201,3531.7,12.08%,2.45%
Barceloneta Municipio,https://findenergy.com/pr/barceloneta-municipio-electricity/,"22,836",1,,26.87,$102.83/mo,111321,4.87,80648992,3531.7,12.08%,2.45%
Barranquitas Municipio,https://findenergy.com/pr/barranquitas-municipio-electricity/,"28,982",1,,26.87,$102.83/mo,141282,4.87,102354576,3531.7,12.08%,2.45%
BayamÃ³n Municipio,https://findenergy.com/pr/bayamon-municipio-electricity/,"185,939",1,,26.87,$102.83/mo,906420,4.87,656673366,3531.7,12.08%,2.45%
Cabo Rojo Municipio,https://findenergy.com/pr/cabo-rojo-municipio-electricity/,"47,403",1,,26.87,$102.83/mo,231081,4.87,167411289,3531.7,12.08%,2.45%
Caguas Municipio,https://findenergy.com/pr/caguas-municipio-electricity/,"128,182",1,,26.87,$102.83/mo,624865,4.87,452695268,3531.7,12.08%,2.45%
Camuy Municipio,https://findenergy.com/pr/camuy-municipio-electricity/,"32,885",1,,26.87,$102.83/mo,160309,4.87,116138646,3531.7,12.08%,2.45%
CanÃ³vanas Municipio,https://findenergy.com/pr/canovanas-municipio-electricity/,"42,811",1,,26.87,$102.83/mo,208696,4.87,151193905,3531.7,12.08%,2.45%
Carolina Municipio,https://findenergy.com/pr/carolina-municipio-electricity/,"155,886",1,,26.87,$102.83/mo,759917,4.87,550536382,3531.7,12.08%,2.45%
CataÃ±o Municipio,https://findenergy.com/pr/catano-municipio-electricity/,"23,536",1,,26.87,$102.83/mo,114734,4.87,83121155,3531.7,12.08%,2.45%
Cayey Municipio,https://findenergy.com/pr/cayey-municipio-electricity/,"42,134",1,,26.87,$102.83/mo,205396,4.87,148802971,3531.7,12.08%,2.45%
Ceiba Municipio,https://findenergy.com/pr/ceiba-municipio-electricity/,"11,463",1,,26.87,$102.83/mo,55880,4.87,40483421,3531.7,12.08%,2.45%
Ciales Municipio,https://findenergy.com/pr/ciales-municipio-electricity/,"17,045",1,,26.87,$102.83/mo,83091,4.87,60197148,3531.7,12.08%,2.45%
Cidra Municipio,https://findenergy.com/pr/cidra-municipio-electricity/,"40,125",1,,26.87,$102.83/mo,195602,4.87,141707866,3531.7,12.08%,2.45%
Coamo Municipio,https://findenergy.com/pr/coamo-municipio-electricity/,"35,268",1,,26.87,$102.83/mo,171925,4.87,124554592,3531.7,12.08%,2.45%
ComerÃ­o Municipio,https://findenergy.com/pr/comerio-municipio-electricity/,"18,990",1,,26.87,$102.83/mo,92573,4.87,67066227,3531.7,12.08%,2.45%
Corozal Municipio,https://findenergy.com/pr/corozal-municipio-electricity/,"34,631",1,,26.87,$102.83/mo,168820,4.87,122304924,3531.7,12.08%,2.45%
Culebra Municipio,https://findenergy.com/pr/culebra-municipio-electricity/,"1,293",1,,26.87,$102.83/mo,6303,4.87,4566437,3531.7,12.08%,2.45%
Dorado Municipio,https://findenergy.com/pr/dorado-municipio-electricity/,"36,030",1,,26.87,$102.83/mo,175640,4.87,127245717,3531.7,12.08%,2.45%
Fajardo Municipio,https://findenergy.com/pr/fajardo-municipio-electricity/,"32,336",1,,26.87,$102.83/mo,157632,4.87,114199764,3531.7,12.08%,2.45%
Florida Municipio,https://findenergy.com/pr/florida-municipio-electricity/,"11,725",1,,26.87,$102.83/mo,57157,4.87,41408716,3531.7,12.08%,2.45%
Guayama Municipio,https://findenergy.com/pr/guayama-municipio-electricity/,"37,388",1,,26.87,$102.83/mo,182260,4.87,132041712,3531.7,12.08%,2.45%
Guayanilla Municipio,https://findenergy.com/pr/guayanilla-municipio-electricity/,"18,047",1,,26.87,$102.83/mo,87976,4.87,63735872,3531.7,12.08%,2.45%
Guaynabo Municipio,https://findenergy.com/pr/guaynabo-municipio-electricity/,"90,014",1,,26.87,$102.83/mo,438802,4.87,317898861,3531.7,12.08%,2.45%
Gurabo Municipio,https://findenergy.com/pr/gurabo-municipio-electricity/,"41,237",1,,26.87,$102.83/mo,201023,4.87,145635072,3531.7,12.08%,2.45%
GuÃ¡nica Municipio,https://findenergy.com/pr/guanica-municipio-electricity/,"14,297",1,,26.87,$102.83/mo,69695,4.87,50492146,3531.7,12.08%,2.45%
Hatillo Municipio,https://findenergy.com/pr/hatillo-municipio-electricity/,"38,739",1,,26.87,$102.83/mo,188846,4.87,136812985,3531.7,12.08%,2.45%
Hormigueros Municipio,https://findenergy.com/pr/hormigueros-municipio-electricity/,"15,726",1,,26.87,$102.83/mo,76661,4.87,55538888,3531.7,12.08%,2.45%
Humacao Municipio,https://findenergy.com/pr/humacao-municipio-electricity/,"51,398",1,,26.87,$102.83/mo,250556,4.87,181520271,3531.7,12.08%,2.45%
Isabela Municipio,https://findenergy.com/pr/isabela-municipio-electricity/,"42,985",1,,26.87,$102.83/mo,209544,4.87,151808414,3531.7,12.08%,2.45%
Jayuya Municipio,https://findenergy.com/pr/jayuya-municipio-electricity/,"14,877",1,,26.87,$102.83/mo,72523,4.87,52540509,3531.7,12.08%,2.45%
Juana DÃ­az Municipio,https://findenergy.com/pr/juana-diaz-municipio-electricity/,"46,704",1,,26.87,$102.83/mo,227674,4.87,164942658,3531.7,12.08%,2.45%
Juncos Municipio,https://findenergy.com/pr/juncos-municipio-electricity/,"37,290",1,,26.87,$102.83/mo,181782,4.87,131695609,3531.7,12.08%,2.45%
Lajas Municipio,https://findenergy.com/pr/lajas-municipio-electricity/,"23,407",1,,26.87,$102.83/mo,114105,4.87,82665570,3531.7,12.08%,2.45%
Lares Municipio,https://findenergy.com/pr/lares-municipio-electricity/,"28,092",1,,26.87,$102.83/mo,136944,4.87,99211398,3531.7,12.08%,2.45%
Las MarÃ­as Municipio,https://findenergy.com/pr/las-marias-municipio-electricity/,"8,896",1,,26.87,$102.83/mo,43366,4.87,31417649,3531.7,12.08%,2.45%
Las Piedras Municipio,https://findenergy.com/pr/las-piedras-municipio-electricity/,"35,495",1,,26.87,$102.83/mo,173032,4.87,125356279,3531.7,12.08%,2.45%
LoÃ­za Municipio,https://findenergy.com/pr/loiza-municipio-electricity/,"24,216",1,,26.87,$102.83/mo,118049,4.87,85522683,3531.7,12.08%,2.45%
Luquillo Municipio,https://findenergy.com/pr/luquillo-municipio-electricity/,"17,917",1,,26.87,$102.83/mo,87342,4.87,63276756,3531.7,12.08%,2.45%
ManatÃ­ Municipio,https://findenergy.com/pr/manati-municipio-electricity/,"39,693",1,,26.87,$102.83/mo,193496,4.87,140182188,3531.7,12.08%,2.45%
Maricao Municipio,https://findenergy.com/pr/maricao-municipio-electricity/,"5,389",1,,26.87,$102.83/mo,26270,4.87,19032117,3531.7,12.08%,2.45%
Maunabo Municipio,https://findenergy.com/pr/maunabo-municipio-electricity/,"10,700",1,,26.87,$102.83/mo,52161,4.87,37788764,3531.7,12.08%,2.45%
MayagÃ¼ez Municipio,https://findenergy.com/pr/mayaguez-municipio-electricity/,"74,146",1,,26.87,$102.83/mo,361449,4.87,261858477,3531.7,12.08%,2.45%
Moca Municipio,https://findenergy.com/pr/moca-municipio-electricity/,"37,532",1,,26.87,$102.83/mo,182962,4.87,132550271,3531.7,12.08%,2.45%
Morovis Municipio,https://findenergy.com/pr/morovis-municipio-electricity/,"29,069",1,,26.87,$102.83/mo,141706,4.87,102661830,3531.7,12.08%,12.08%
Naguabo Municipio,https://findenergy.com/pr/naguabo-municipio-electricity/,"23,722",1,,26.87,$102.83/mo,115641,4.87,83778043,3531.7,12.08%,12.08%
Naranjito Municipio,https://findenergy.com/pr/naranjito-municipio-electricity/,"29,200",1,,26.87,$102.83/mo,142345,4.87,103124478,3531.7,12.08%,2.45%
Orocovis Municipio,https://findenergy.com/pr/orocovis-municipio-electricity/,"21,510",1,,26.87,$102.83/mo,104857,4.87,75966011,3531.7,12.08%,12.08%
Patillas Municipio,https://findenergy.com/pr/patillas-municipio-electricity/,"16,231",1,,26.87,$102.83/mo,79123,4.87,57322377,3531.7,12.08%,2.45%
PeÃ±uelas Municipio,https://findenergy.com/pr/penuelas-municipio-electricity/,"20,625",1,,26.87,$102.83/mo,100543,4.87,72840492,3531.7,12.08%,2.45%
Ponce Municipio,https://findenergy.com/pr/ponce-municipio-electricity/,"139,245",1,,26.87,$102.83/mo,678795,4.87,491766025,3531.7,12.08%,2.45%
Quebradillas Municipio,https://findenergy.com/pr/quebradillas-municipio-electricity/,"23,743",1,,26.87,$102.83/mo,115743,4.87,83852208,3531.7,12.08%,2.45%
RincÃ³n Municipio,https://findenergy.com/pr/rincon-municipio-electricity/,"15,097",1,,26.87,$102.83/mo,73595,4.87,53317474,3531.7,12.08%,2.45%
RÃ­o Grande Municipio,https://findenergy.com/pr/rio-grande-municipio-electricity/,"47,630",1,,26.87,$102.83/mo,232188,4.87,168212975,3531.7,12.08%,2.45%
Sabana Grande Municipio,https://findenergy.com/pr/sabana-grande-municipio-electricity/,"22,860",1,,26.87,$102.83/mo,111438,4.87,80733752,3531.7,12.08%,2.45%
Salinas Municipio,https://findenergy.com/pr/salinas-municipio-electricity/,"26,208",1,,26.87,$102.83/mo,127759,4.87,92557751,3531.7,12.08%,2.45%
San GermÃ¡n Municipio,https://findenergy.com/pr/san-german-municipio-electricity/,"32,031",1,,26.87,$102.83/mo,156146,4.87,113122608,3531.7,12.08%,2.45%
San Juan Municipio,https://findenergy.com/pr/san-juan-municipio-electricity/,"344,791",1,,26.87,$102.83/mo,1680796,4.87,1217684653,3531.7,12.08%,12.08%
San Lorenzo Municipio,https://findenergy.com/pr/san-lorenzo-municipio-electricity/,"37,822",1,,26.87,$102.83/mo,184376,4.87,133574452,3531.7,12.08%,12.08%
San SebastiÃ¡n Municipio,https://findenergy.com/pr/san-sebastian-municipio-electricity/,"39,351",1,,26.87,$102.83/mo,191829,4.87,138974361,3531.7,12.08%,2.45%
Santa Isabel Municipio,https://findenergy.com/pr/santa-isabel-municipio-electricity/,"20,530",1,,26.87,$102.83/mo,100080,4.87,72504984,3531.7,12.08%,2.45%
Toa Alta Municipio,https://findenergy.com/pr/toa-alta-municipio-electricity/,"67,602",1,,26.87,$102.83/mo,329548,4.87,238747293,3531.7,12.08%,2.45%
Toa Baja Municipio,https://findenergy.com/pr/toa-baja-municipio-electricity/,"76,248",1,,26.87,$102.83/mo,371696,4.87,269282027,3531.7,12.08%,2.45%
Trujillo Alto Municipio,https://findenergy.com/pr/trujillo-alto-municipio-electricity/,"68,001",1,,26.87,$102.83/mo,331493,4.87,240156425,3531.7,12.08%,2.45%
Utuado Municipio,https://findenergy.com/pr/utuado-municipio-electricity/,"28,585",1,,26.87,$102.83/mo,139347,4.87,100952507,3531.7,12.08%,2.45%
Vega Alta Municipio,https://findenergy.com/pr/vega-alta-municipio-electricity/,"35,728",1,,26.87,$102.83/mo,174168,4.87,126179156,3531.7,12.08%,2.45%
Vega Baja Municipio,https://findenergy.com/pr/vega-baja-municipio-electricity/,"54,544",1,,26.87,$102.83/mo,265892,4.87,192630874,3531.7,12.08%,2.45%
Vieques Municipio,https://findenergy.com/pr/vieques-municipio-electricity/,"8,317",1,,26.87,$102.83/mo,40544,4.87,29372818,3531.7,12.08%,2.45%
Villalba Municipio,https://findenergy.com/pr/villalba-municipio-electricity/,"22,341",1,,26.87,$102.83/mo,108908,4.87,78900821,3531.7,12.08%,2.45%
Yabucoa Municipio,https://findenergy.com/pr/yabucoa-municipio-electricity/,"31,047",1,,26.87,$102.83/mo,151349,4.87,109647454,3531.7,12.08%,2.45%
Yauco Municipio,https://findenergy.com/pr/yauco-municipio-electricity/,"34,704",1,,26.87,$102.83/mo,169176,4.87,122562736,3531.7,12.08%,2.45%